created_at,screen_name,text,favorite_count,retweet_count,urls_expanded_url
2018-02-02T19:30:15Z,seankross,Want to master the new terminal in the latest version of @rstudio? I wrote a free book just for you! https://t.co/uatIhTb1Pa #rstudioconf https://t.co/axCAVdwFI1,57,15,http://seankross.com/the-unix-workbench/
2018-02-02T19:30:15Z,seankross,Want to master the new terminal in the latest version of @rstudio? I wrote a free book just for you! https://t.co/uatIhTb1Pa #rstudioconf https://t.co/axCAVdwFI1,57,15,https://twitter.com/juliasilge/status/959507375450279936
2018-02-02T18:49:54Z,rstudio,We are going to continue live-streaming a learning track at #rstudioconf. We hope it relieves some of the #FOMO for those who couldn't make it to San Diego. You can access the stream here -&gt; #rstats #rstudio https://t.co/gOYBdfs3b6,49,23,https://www.youtube.com/watch?v=ogy7rHWlsQ8
2018-02-02T18:28:51Z,therriaultphd,At #rstudioconf? Be sure to check out @CityOfBoston @DoITBoston's @paylakatel speaking tomorrow at 2pm about her work on the @ImagineBos dashboards (which you can see at https://t.co/IfgFKGQC92)!,17,11,https://analytics.boston.gov/app/imagine-boston
2018-02-02T18:12:25Z,CMastication,"I’m blown away that #rstudioconf is over 1000 ppl. I’ve gone out of my way to talk to as many people as possible and it’s obvious: industry has discovered #rstats. ~15 here from John Deere, 4 from CarFax, Guy in front of me is from ADM. Big diff from my first R conf in 2010! https://t.co/c6hGbPZuU0",166,26,https://twitter.com/gwendoesdata/status/958862835957645313
2018-02-02T17:55:14Z,edzerpebesma,"Uploaded my #rstudioconf slides at https://t.co/1gucCttC7M ; don't miss the BoF #rspatial unconf at 17:30-18:30, Pier room, 3rd floor!",68,18,https://edzer.github.io/rstudio_conf/#1
2018-02-02T17:51:33Z,drob,I really like the methods of graphical inference from @visnut: permute data and try to find the original. Check out her nullabor package for more! https://t.co/uGj7vhFZVp #rstudioconf https://t.co/wdYqjBHeTU,163,48,https://cran.r-project.org/web/packages/nullabor/index.html
2018-02-02T17:43:33Z,hadleywickham,One of these plots is not like the others: https://t.co/oDIgSWyKuY — cookie monster teaches you about graphical inference #rstudioconf (thanks to @visnut for reminding about this video),101,24,https://youtu.be/rEHKm3Z1zUE
2018-02-02T17:05:53Z,rstudio,"We are live-streaming NOW:  #rstudioconf 2018 keynote “To the Tidyverse and Beyond: Challenges for the Future in Data Science”, presented by Dianne Cook. Access the stream -&gt; https://t.co/CqyFG1aWLA  #rstats #rstudio",34,13,http://bit.ly/2BPNkTh
2018-02-02T17:03:50Z,thomasp85,The slides for my #rstudioconf presentation on tidygraph/ggraph is now up at https://t.co/GQyqYWDIx9,123,20,https://www.data-imaginist.com/slides/rstudioconf2018/
